"seed","n","alpha","truth","alphahat","p0hat","p1hat","p2hat","p3hat"
3,200,0,"A",0.039518766754036,0.179948700117034,0.464054700687156,0.055420457442486,0.300582249817079
4,200,0,"A",0.0303394494251934,0.169161975684344,0.401508209698231,0.158501297748356,0.270795032417338
5,200,0,"A",0.0201952811493396,0.18412545629987,0.376587205273559,0.181836380385513,0.25745136450764
6,200,0,"A",0.0208265594261635,0.26992347338032,0.22471800607124,0.346030115062054,0.159329939708458
7,200,0,"A",0.0593148920310803,0.360963028077858,0.163215603677682,0.125648490629393,0.350145456629952
8,200,0,"A",0.0260959847312843,0.280725216977755,0.145761014779074,0.32140919390673,0.252107565485954
9,200,0,"A",0.00964420834904818,0.104479520426513,0.458612072583485,0.246702019468304,0.19020234836147
10,200,0,"A",0.0200694731194924,0.251528533150283,0.160140288398434,0.430451683160753,0.157876898762214
11,200,0,"A",0.0216906988096827,0.191208492928422,0.22191070809193,0.33260713194246,0.25426627086628
12,200,0,"A",0.0575684137727602,0.100422177079748,0.626993656632481,0.026720186063723,0.24582326388857
13,200,0,"A",0.0425764933577251,0.28037324971009,0.237734799068404,0.154964080393303,0.326939335997212
14,200,0,"A",0.0414776478295077,0.168396824266892,0.490133130965772,0.0495065226235697,0.291957891070735
15,200,0,"A",0.0286843934628711,0.299751360462998,0.121941045808868,0.376876854388516,0.201437089109225
16,200,0,"A",0.0186470276212017,0.217866809747156,0.24555478718381,0.343100792331444,0.193464349753165
17,200,0,"A",0.0188660844165868,0.215837907210689,0.389613755693839,0.132743646806345,0.261810599441569
